period_date,period_year,period_month,month_name,quarter,sg_trade_season,cpi_index,cpi_yoy_pct,cpi_mom_pct,usd_sgd,cny_sgd,usd_cny_ratio,imports_sgd_bn,exports_sgd_bn,trade_balance_sgd_bn,ge_usd_budget_m,mindray_cny_budget_m
2012-05-01,2012,5,May,Q2,Asia Dry Season,82.4,0.0504,0.00173,1.2625,0.1996,6.33,42.81,9.56,-33.25,39.6,251.0
2012-06-01,2012,6,June,Q2,Monsoon Season,82.4,0.053,5e-05,1.2783,0.2009,6.36,41.64,10.44,-31.2,39.1,249.0
2012-07-01,2012,7,July,Q3,Monsoon Season,82.6,0.04,0.00191,1.2618,0.198,6.37,38.99,9.94,-29.06,39.6,253.0
2012-08-01,2012,8,August,Q3,Monsoon Season,83.1,0.039,0.00514,1.2485,0.1963,6.36,38.63,9.7,-28.93,40.0,255.0
2012-09-01,2012,9,September,Q3,Monsoon Season,83.6,0.0469,0.00476,1.2318,0.1948,6.32,37.88,9.25,-28.63,40.6,257.0
2012-10-01,2012,10,October,Q4,Year End / Q1,83.4,0.0405,-0.0017,1.2247,0.1955,6.26,41.03,10.08,-30.95,40.8,256.0
2012-11-01,2012,11,November,Q4,Year End / Q1,83.5,0.0361,0.00106,1.2234,0.1963,6.23,40.08,9.24,-30.84,40.9,255.0
2012-12-01,2012,12,December,Q4,Year End / Q1,84.2,0.0432,0.00611,1.221,0.1959,6.23,37.26,8.34,-28.92,41.0,255.0
2013-01-01,2013,1,January,Q1,Year End / Q1,84.3,0.0357,0.00164,1.2285,0.1975,6.22,40.56,8.82,-31.75,40.7,253.0
2013-02-01,2013,2,February,Q1,Year End / Q1,85.2,0.0489,0.00847,1.2381,0.1986,6.23,35.36,6.94,-28.42,40.4,252.0
2013-03-01,2013,3,March,Q1,Asia Dry Season,84.7,0.0354,-0.00459,1.2466,0.2005,6.22,38.09,9.43,-28.66,40.1,249.0
2013-04-01,2013,4,April,Q2,Asia Dry Season,83.4,0.0146,-0.01255,1.238,0.2001,6.19,42.06,9.02,-33.04,40.4,250.0
2013-05-01,2013,5,May,Q2,Asia Dry Season,83.7,0.0161,0.00298,1.2481,0.2033,6.14,41.98,9.17,-32.81,40.1,246.0
2013-06-01,2013,6,June,Q2,Monsoon Season,83.9,0.0181,0.00171,1.2606,0.2055,6.13,39.24,8.47,-30.77,39.7,243.0
2013-07-01,2013,7,July,Q3,Monsoon Season,84.2,0.0186,0.00234,1.268,0.2067,6.13,43.65,9.34,-34.31,39.4,242.0
2013-08-01,2013,8,August,Q3,Monsoon Season,84.8,0.0205,0.00678,1.2737,0.2081,6.12,40.48,8.48,-32.0,39.3,240.0
2013-09-01,2013,9,September,Q3,Monsoon Season,85.0,0.0161,0.00125,1.2635,0.2065,6.12,41.62,8.58,-33.04,39.6,242.0
2013-10-01,2013,10,October,Q4,Year End / Q1,85.1,0.0198,0.00134,1.2443,0.2039,6.1,44.87,8.79,-36.08,40.2,245.0
2013-11-01,2013,11,November,Q4,Year End / Q1,85.7,0.0257,0.00601,1.2474,0.2047,6.09,38.98,7.88,-31.1,40.1,244.0
2013-12-01,2013,12,December,Q4,Year End / Q1,85.4,0.015,-0.00272,1.2588,0.2072,6.08,38.69,8.54,-30.14,39.7,241.0
2014-01-01,2014,1,January,Q1,Year End / Q1,85.5,0.0142,0.00094,1.2725,0.2103,6.05,41.14,8.29,-32.85,39.3,238.0
2014-02-01,2014,2,February,Q1,Year End / Q1,85.5,0.0039,-0.0002,1.2667,0.2083,6.08,37.21,7.56,-29.66,39.5,240.0
2014-03-01,2014,3,March,Q1,Asia Dry Season,85.7,0.012,0.00228,1.2674,0.2053,6.17,43.81,8.29,-35.53,39.5,244.0
2014-04-01,2014,4,April,Q2,Asia Dry Season,85.4,0.023,-0.0035,1.2557,0.2018,6.22,42.8,8.86,-33.94,39.8,248.0
2014-05-01,2014,5,May,Q2,Asia Dry Season,85.7,0.0228,0.00287,1.2517,0.2007,6.24,41.83,8.04,-33.79,39.9,249.0
2014-06-01,2014,6,June,Q2,Monsoon Season,85.5,0.019,-0.00143,1.2514,0.2008,6.23,38.22,8.38,-29.84,40.0,249.0
2014-07-01,2014,7,July,Q3,Monsoon Season,85.3,0.0132,-0.00255,1.243,0.2005,6.2,40.81,8.69,-32.12,40.2,249.0
2014-08-01,2014,8,August,Q3,Monsoon Season,85.7,0.0104,0.00456,1.2485,0.2028,6.16,36.89,8.78,-28.1,40.0,247.0
2014-09-01,2014,9,September,Q3,Monsoon Season,85.6,0.0071,-0.00158,1.2628,0.2057,6.14,40.57,8.43,-32.14,39.6,243.0
2014-10-01,2014,10,October,Q4,Year End / Q1,85.3,0.0025,-0.00256,1.2738,0.208,6.12,41.16,8.6,-32.56,39.3,240.0
2014-11-01,2014,11,November,Q4,Year End / Q1,85.5,-0.0027,0.0016,1.2956,0.2115,6.13,35.76,7.58,-28.18,38.6,236.0
2014-12-01,2014,12,December,Q4,Year End / Q1,85.4,-0.0006,-0.00097,1.3155,0.2125,6.19,38.37,8.47,-29.9,38.0,235.0
2015-01-01,2015,1,January,Q1,Year End / Q1,85.2,-0.0039,-0.00184,1.3374,0.215,6.22,35.22,8.43,-26.79,37.4,233.0
2015-02-01,2015,2,February,Q1,Year End / Q1,85.3,-0.0027,0.00078,1.3544,0.2166,6.25,29.73,6.43,-23.31,36.9,231.0
2015-03-01,2015,3,March,Q1,Asia Dry Season,85.5,-0.003,0.00206,1.3771,0.2207,6.24,38.82,10.17,-28.65,36.3,227.0
2015-04-01,2015,4,April,Q2,Asia Dry Season,84.9,-0.0051,-0.00533,1.35,0.2177,6.2,36.97,8.86,-28.11,37.0,230.0
2015-05-01,2015,5,May,Q2,Asia Dry Season,85.3,-0.004,0.00387,1.3347,0.2151,6.21,33.57,7.84,-25.73,37.5,232.0
2015-06-01,2015,6,June,Q2,Monsoon Season,85.2,-0.0034,-0.00092,1.3457,0.2168,6.21,36.61,8.6,-28.02,37.2,231.0
2015-07-01,2015,7,July,Q3,Monsoon Season,84.9,-0.004,-0.00304,1.3608,0.2192,6.21,37.43,8.63,-28.81,36.7,228.0
2015-08-01,2015,8,August,Q3,Monsoon Season,85.0,-0.0083,0.00081,1.3999,0.2202,6.36,35.26,8.04,-27.22,35.7,227.0
2015-09-01,2015,9,September,Q3,Monsoon Season,85.0,-0.0065,1e-05,1.415,0.2222,6.37,35.28,8.99,-26.29,35.3,225.0
2015-10-01,2015,10,October,Q4,Year End / Q1,84.6,-0.0078,-0.00366,1.4019,0.2207,6.35,36.0,8.83,-27.16,35.7,227.0
2015-11-01,2015,11,November,Q4,Year End / Q1,84.8,-0.0076,0.0017,1.4125,0.2217,6.37,33.63,7.54,-26.09,35.4,226.0
2015-12-01,2015,12,December,Q4,Year End / Q1,84.8,-0.0064,7e-05,1.4085,0.2183,6.45,34.87,7.98,-26.88,35.5,229.0
2016-01-01,2016,1,January,Q1,Year End / Q1,84.6,-0.0065,-0.00186,1.4335,0.2181,6.57,30.38,8.19,-22.19,34.9,229.0
2016-02-01,2016,2,February,Q1,Year End / Q1,84.5,-0.0084,-0.00086,1.4063,0.2148,6.55,30.95,6.79,-24.16,35.6,233.0
2016-03-01,2016,3,March,Q1,Asia Dry Season,84.6,-0.0104,0.00035,1.3748,0.2113,6.51,33.66,7.83,-25.83,36.4,237.0
2016-04-01,2016,4,April,Q2,Asia Dry Season,84.5,-0.0047,-0.00043,1.3509,0.2085,6.48,32.24,8.31,-23.93,37.0,240.0
2016-05-01,2016,5,May,Q2,Asia Dry Season,84.0,-0.0156,-0.00551,1.3706,0.2099,6.53,32.92,7.54,-25.38,36.5,238.0
2016-06-01,2016,6,June,Q2,Monsoon Season,84.6,-0.0073,0.00624,1.3555,0.2056,6.59,34.07,8.38,-25.69,36.9,243.0
2016-07-01,2016,7,July,Q3,Monsoon Season,84.4,-0.0065,-0.00237,1.3508,0.2023,6.68,31.91,7.82,-24.09,37.0,247.0
2016-08-01,2016,8,August,Q3,Monsoon Season,84.8,-0.0025,0.00416,1.3474,0.2026,6.65,33.53,7.57,-25.95,37.1,247.0
2016-09-01,2016,9,September,Q3,Monsoon Season,84.8,-0.0025,8e-05,1.3592,0.2037,6.67,32.76,8.29,-24.47,36.8,245.0
2016-10-01,2016,10,October,Q4,Year End / Q1,84.6,-0.001,-0.00243,1.3836,0.2056,6.73,33.93,7.55,-26.38,36.1,243.0
2016-11-01,2016,11,November,Q4,Year End / Q1,84.8,0.0002,0.00271,1.4101,0.2061,6.84,37.48,8.24,-29.25,35.5,243.0
2016-12-01,2016,12,December,Q4,Year End / Q1,85.0,0.0017,0.00132,1.4358,0.2074,6.92,39.47,8.62,-30.85,34.8,241.0
2017-01-01,2017,1,January,Q1,Year End / Q1,85.1,0.0056,0.00148,1.4288,0.2072,6.9,36.73,8.34,-28.39,35.0,241.0
2017-02-01,2017,2,February,Q1,Year End / Q1,85.1,0.0066,-2e-05,1.415,0.2059,6.87,33.03,7.76,-25.27,35.3,243.0
2017-03-01,2017,3,March,Q1,Asia Dry Season,85.1,0.0066,0.00036,1.4057,0.2038,6.9,39.99,8.86,-31.13,35.6,245.0
2017-04-01,2017,4,April,Q2,Asia Dry Season,84.9,0.0041,-0.00259,1.398,0.2029,6.89,34.54,7.7,-26.84,35.8,246.0
2017-05-01,2017,5,May,Q2,Asia Dry Season,85.2,0.0141,0.00287,1.3946,0.2025,6.89,39.15,8.89,-30.26,35.9,247.0
2017-06-01,2017,6,June,Q2,Monsoon Season,85.0,0.0052,-0.00121,1.3837,0.2033,6.81,36.42,8.12,-28.29,36.1,246.0
2017-07-01,2017,7,July,Q3,Monsoon Season,84.8,0.0056,-0.00198,1.3717,0.2025,6.77,36.87,7.91,-28.97,36.5,247.0
2017-08-01,2017,8,August,Q3,Monsoon Season,85.1,0.004,0.00284,1.3607,0.2039,6.67,38.7,8.59,-30.11,36.7,245.0
2017-09-01,2017,9,September,Q3,Monsoon Season,85.1,0.0037,-0.00019,1.3497,0.2055,6.57,35.73,7.67,-28.06,37.0,243.0
2017-10-01,2017,10,October,Q4,Year End / Q1,84.9,0.0037,-0.00245,1.3604,0.2053,6.63,39.35,8.28,-31.06,36.8,244.0
2017-11-01,2017,11,November,Q4,Year End / Q1,85.4,0.0063,0.00493,1.3561,0.2048,6.62,41.48,8.73,-32.75,36.9,244.0
2017-12-01,2017,12,December,Q4,Year End / Q1,85.3,0.0038,-0.00084,1.3467,0.2042,6.6,40.1,8.55,-31.55,37.1,245.0
2018-01-01,2018,1,January,Q1,Year End / Q1,85.1,0.0001,-0.00164,1.322,0.2056,6.43,38.49,8.59,-29.9,37.8,243.0
2018-02-01,2018,2,February,Q1,Year End / Q1,85.5,0.0048,0.004,1.3198,0.2089,6.32,34.61,6.8,-27.81,37.9,239.0
2018-03-01,2018,3,March,Q1,Asia Dry Season,85.3,0.0024,-0.00173,1.3148,0.208,6.32,39.75,8.44,-31.31,38.0,240.0
2018-04-01,2018,4,April,Q2,Asia Dry Season,84.9,0.0007,-0.004,1.3149,0.2088,6.3,38.38,8.07,-30.32,38.0,239.0
2018-05-01,2018,5,May,Q2,Asia Dry Season,85.5,0.0035,0.00529,1.3387,0.2101,6.37,42.89,8.81,-34.08,37.3,238.0
2018-06-01,2018,6,June,Q2,Monsoon Season,85.5,0.0055,0.00048,1.3474,0.2084,6.47,41.05,8.08,-32.97,37.1,240.0
2018-07-01,2018,7,July,Q3,Monsoon Season,85.4,0.0064,-0.00124,1.3632,0.203,6.72,44.97,8.74,-36.24,36.7,246.0
2018-08-01,2018,8,August,Q3,Monsoon Season,85.7,0.0073,0.00359,1.3689,0.1998,6.85,43.8,9.01,-34.79,36.5,250.0
2018-09-01,2018,9,September,Q3,Monsoon Season,85.7,0.0073,-0.0002,1.3715,0.2001,6.85,41.44,8.2,-33.24,36.5,250.0
2018-10-01,2018,10,October,Q4,Year End / Q1,85.5,0.0071,-0.00264,1.3791,0.1993,6.92,47.13,9.42,-37.7,36.3,251.0
2018-11-01,2018,11,November,Q4,Year End / Q1,85.6,0.0029,0.00141,1.3755,0.1981,6.94,45.11,8.97,-36.14,36.4,252.0
2018-12-01,2018,12,December,Q4,Year End / Q1,85.7,0.0046,0.00064,1.3703,0.199,6.89,42.57,7.53,-35.03,36.5,251.0
2019-01-01,2019,1,January,Q1,Year End / Q1,85.4,0.0036,-0.00254,1.3564,0.1998,6.79,41.55,7.76,-33.79,36.9,250.0
2019-02-01,2019,2,February,Q1,Year End / Q1,85.9,0.0046,0.00485,1.3537,0.2009,6.74,36.07,6.67,-29.41,36.9,249.0
2019-03-01,2019,3,March,Q1,Asia Dry Season,85.9,0.0068,0.00016,1.354,0.2018,6.71,40.34,6.64,-33.7,36.9,248.0
2019-04-01,2019,4,April,Q2,Asia Dry Season,85.7,0.0093,-0.00187,1.3561,0.2019,6.72,41.29,6.75,-34.54,36.9,248.0
2019-05-01,2019,5,May,Q2,Asia Dry Season,86.2,0.0088,0.00491,1.3707,0.1999,6.86,42.64,8.09,-34.55,36.5,250.0
2019-06-01,2019,6,June,Q2,Monsoon Season,86.0,0.0054,-0.00247,1.363,0.1975,6.9,38.98,6.41,-32.57,36.7,253.0
2019-07-01,2019,7,July,Q3,Monsoon Season,85.6,0.0023,-0.00387,1.3606,0.1978,6.88,42.03,6.97,-35.06,36.7,253.0
2019-08-01,2019,8,August,Q3,Monsoon Season,86.1,0.0044,0.00536,1.385,0.1961,7.06,41.0,7.07,-33.92,36.1,255.0
2019-09-01,2019,9,September,Q3,Monsoon Season,86.1,0.004,-0.00054,1.3802,0.1939,7.12,39.45,6.7,-32.76,36.2,258.0
2019-10-01,2019,10,October,Q4,Year End / Q1,85.9,0.0049,-0.00186,1.3713,0.1932,7.1,42.28,7.51,-34.78,36.5,259.0
2019-11-01,2019,11,November,Q4,Year End / Q1,86.2,0.0065,0.00277,1.3616,0.1939,7.02,42.49,7.4,-35.09,36.7,258.0
2019-12-01,2019,12,December,Q4,Year End / Q1,86.3,0.0076,0.00165,1.3573,0.1935,7.01,41.58,6.98,-34.6,36.8,258.0
2020-01-01,2020,1,January,Q1,Year End / Q1,86.1,0.0083,-0.00204,1.3508,0.1952,6.92,41.18,6.89,-34.29,37.0,256.0
2020-02-01,2020,2,February,Q1,Year End / Q1,86.2,0.0033,0.00062,1.3897,0.1985,7.0,39.47,7.05,-32.42,36.0,252.0
2020-03-01,2020,3,March,Q1,Asia Dry Season,85.9,-0.0003,-0.00295,1.4165,0.2019,7.02,40.43,7.08,-33.36,35.3,248.0
2020-04-01,2020,4,April,Q2,Asia Dry Season,85.1,-0.0074,-0.0079,1.4245,0.2013,7.08,35.88,7.89,-27.99,35.1,248.0
2020-05-01,2020,5,May,Q2,Asia Dry Season,85.5,-0.0083,0.00404,1.418,0.1996,7.1,31.46,7.58,-23.88,35.3,251.0
2020-06-01,2020,6,June,Q2,Monsoon Season,85.5,-0.0053,0.00018,1.3941,0.1967,7.09,35.12,7.31,-27.81,35.9,254.0
2020-07-01,2020,7,July,Q3,Monsoon Season,85.2,-0.004,-0.00275,1.3883,0.198,7.01,37.84,6.9,-30.94,36.0,253.0
2020-08-01,2020,8,August,Q3,Monsoon Season,85.8,-0.0039,0.00542,1.3697,0.1977,6.93,36.47,7.21,-29.26,36.5,253.0
2020-09-01,2020,9,September,Q3,Monsoon Season,86.1,0.0,0.00286,1.3655,0.2005,6.81,38.8,6.91,-31.89,36.6,249.0
2020-10-01,2020,10,October,Q4,Year End / Q1,85.7,-0.002,-0.00364,1.3596,0.2021,6.73,38.17,7.65,-30.53,36.8,247.0
2020-11-01,2020,11,November,Q4,Year End / Q1,86.0,-0.0013,0.00338,1.3478,0.204,6.61,38.48,6.95,-31.52,37.1,245.0
2020-12-01,2020,12,December,Q4,Year End / Q1,86.4,0.0004,0.00311,1.3324,0.2037,6.54,40.15,7.18,-32.97,37.5,245.0
2021-01-01,2021,1,January,Q1,Year End / Q1,86.3,0.0025,-0.00024,1.3257,0.2049,6.47,39.03,7.62,-31.41,37.7,244.0
2021-02-01,2021,2,February,Q1,Year End / Q1,86.8,0.0075,0.00493,1.3274,0.2055,6.46,37.64,7.04,-30.61,37.7,243.0
2021-03-01,2021,3,March,Q1,Asia Dry Season,87.0,0.0132,0.00192,1.3423,0.2063,6.51,47.67,9.14,-38.53,37.2,242.0
2021-04-01,2021,4,April,Q2,Asia Dry Season,86.9,0.0209,-0.00144,1.3344,0.2046,6.52,45.17,8.06,-37.11,37.5,244.0
2021-05-01,2021,5,May,Q2,Asia Dry Season,87.6,0.0242,0.00699,1.3303,0.2068,6.43,41.56,8.1,-33.46,37.6,242.0
2021-06-01,2021,6,June,Q2,Monsoon Season,87.6,0.024,-5e-05,1.333,0.2075,6.42,45.04,8.88,-36.16,37.5,241.0
2021-07-01,2021,7,July,Q3,Monsoon Season,87.4,0.0253,-0.00171,1.3543,0.2092,6.47,46.11,8.68,-37.43,36.9,239.0
2021-08-01,2021,8,August,Q3,Monsoon Season,87.9,0.0244,0.00484,1.3552,0.2092,6.48,44.71,8.19,-36.52,36.9,239.0
2021-09-01,2021,9,September,Q3,Monsoon Season,88.2,0.0253,0.00366,1.3475,0.2087,6.46,45.98,8.15,-37.83,37.1,240.0
2021-10-01,2021,10,October,Q4,Year End / Q1,88.5,0.0326,0.00252,1.3511,0.2104,6.42,47.95,8.49,-39.46,37.0,238.0
2021-11-01,2021,11,November,Q4,Year End / Q1,89.4,0.0386,0.00869,1.3574,0.2124,6.39,50.67,8.9,-41.78,36.8,235.0
2021-12-01,2021,12,December,Q4,Year End / Q1,89.8,0.0396,0.00412,1.3632,0.2141,6.37,54.35,8.85,-45.49,36.7,234.0
2022-01-01,2022,1,January,Q1,Year End / Q1,89.8,0.0403,0.00029,1.3506,0.2125,6.36,50.03,8.99,-41.04,37.0,235.0
2022-02-01,2022,2,February,Q1,Year End / Q1,90.6,0.0433,0.0078,1.3467,0.2123,6.34,44.96,9.08,-35.88,37.1,236.0
2022-03-01,2022,3,March,Q1,Asia Dry Season,91.7,0.054,0.01125,1.3593,0.2142,6.35,58.08,9.93,-48.15,36.8,233.0
2022-04-01,2022,4,April,Q2,Asia Dry Season,91.6,0.0543,-0.00121,1.3656,0.2125,6.43,56.12,8.73,-47.39,36.6,235.0
2022-05-01,2022,5,May,Q2,Asia Dry Season,92.5,0.0563,0.00908,1.3814,0.2061,6.7,57.6,8.91,-48.7,36.2,243.0
2022-06-01,2022,6,June,Q2,Monsoon Season,93.4,0.0669,0.00921,1.3837,0.2067,6.69,59.65,9.4,-50.25,36.1,242.0
2022-07-01,2022,7,July,Q3,Monsoon Season,93.6,0.0705,0.0014,1.3949,0.2071,6.74,61.03,9.57,-51.46,35.8,241.0
2022-08-01,2022,8,August,Q3,Monsoon Season,94.4,0.0747,0.00882,1.3843,0.2035,6.8,58.47,9.86,-48.61,36.1,246.0
2022-09-01,2022,9,September,Q3,Monsoon Season,94.9,0.0749,0.00409,1.4136,0.2013,7.02,55.8,8.15,-47.65,35.4,248.0
2022-10-01,2022,10,October,Q4,Year End / Q1,94.5,0.0675,-0.00379,1.4245,0.1981,7.19,53.18,7.37,-45.82,35.1,252.0
2022-11-01,2022,11,November,Q4,Year End / Q1,95.4,0.0674,0.00921,1.3874,0.1932,7.18,50.65,7.6,-43.05,36.0,259.0
2022-12-01,2022,12,December,Q4,Year End / Q1,95.6,0.0647,0.00195,1.352,0.1937,6.98,49.87,7.44,-42.42,37.0,258.0
2023-01-01,2023,1,January,Q1,Year End / Q1,95.8,0.0664,0.00181,1.3258,0.1953,6.79,44.38,7.02,-37.36,37.7,256.0
2023-02-01,2023,2,February,Q1,Year End / Q1,96.3,0.0631,0.00536,1.3309,0.1947,6.84,42.75,6.55,-36.2,37.6,257.0
2023-03-01,2023,3,March,Q1,Asia Dry Season,96.8,0.0554,0.00484,1.3407,0.1944,6.9,51.59,10.15,-41.45,37.3,257.0
2023-04-01,2023,4,April,Q2,Asia Dry Season,96.9,0.0576,0.00077,1.3319,0.1934,6.89,44.97,8.54,-36.43,37.5,259.0
2023-05-01,2023,5,May,Q2,Asia Dry Season,97.2,0.0506,0.00312,1.3393,0.1916,6.99,45.56,7.03,-38.53,37.3,261.0
2023-06-01,2023,6,June,Q2,Monsoon Season,97.6,0.0452,0.00464,1.3461,0.1879,7.16,46.73,7.49,-39.24,37.1,266.0
2023-07-01,2023,7,July,Q3,Monsoon Season,97.4,0.0412,-0.00228,1.3346,0.1857,7.19,46.57,7.66,-38.91,37.5,269.0
2023-08-01,2023,8,August,Q3,Monsoon Season,98.3,0.0406,0.00861,1.3505,0.1862,7.25,49.26,7.18,-42.08,37.0,269.0
2023-09-01,2023,9,September,Q3,Monsoon Season,98.8,0.0413,0.00498,1.3638,0.1869,7.3,48.96,7.62,-41.34,36.7,268.0
2023-10-01,2023,10,October,Q4,Year End / Q1,99.0,0.0476,0.00198,1.369,0.1874,7.31,51.89,7.28,-44.61,36.5,267.0
2023-11-01,2023,11,November,Q4,Year End / Q1,98.8,0.0358,-0.00166,1.3482,0.1866,7.23,49.4,8.06,-41.34,37.1,268.0
2023-12-01,2023,12,December,Q4,Year End / Q1,99.2,0.0375,0.00369,1.3324,0.1865,7.14,45.25,7.25,-38.0,37.5,268.0
2024-01-01,2024,1,January,Q1,Year End / Q1,98.8,0.0311,-0.00425,1.3355,0.1862,7.17,49.25,7.43,-41.82,37.4,269.0
2024-02-01,2024,2,February,Q1,Year End / Q1,99.8,0.0358,0.01003,1.3445,0.1869,7.19,45.01,6.87,-38.14,37.2,268.0
2024-03-01,2024,3,March,Q1,Asia Dry Season,99.7,0.0302,-0.00043,1.3401,0.1861,7.2,51.34,6.74,-44.6,37.3,269.0
2024-04-01,2024,4,April,Q2,Asia Dry Season,99.4,0.0264,-0.00286,1.3569,0.1875,7.24,52.9,6.73,-46.17,36.8,267.0
2024-05-01,2024,5,May,Q2,Asia Dry Season,100.2,0.0312,0.00783,1.3512,0.1868,7.23,52.68,7.32,-45.36,37.0,268.0
2024-06-01,2024,6,June,Q2,Monsoon Season,100.1,0.0252,-0.00105,1.3516,0.1863,7.25,48.85,7.09,-41.76,37.0,268.0
2024-07-01,2024,7,July,Q3,Monsoon Season,99.8,0.0246,-0.00286,1.3469,0.1854,7.26,52.97,8.64,-44.32,37.1,270.0
2024-08-01,2024,8,August,Q3,Monsoon Season,100.4,0.0217,0.00596,1.3159,0.184,7.15,49.95,7.78,-42.17,38.0,272.0
2024-09-01,2024,9,September,Q3,Monsoon Season,100.6,0.0189,0.00231,1.2964,0.1832,7.08,49.07,7.22,-41.85,38.6,273.0
2024-10-01,2024,10,October,Q4,Year End / Q1,100.1,0.0116,-0.00526,1.309,0.1847,7.09,51.42,6.82,-44.59,38.2,271.0
2024-11-01,2024,11,November,Q4,Year End / Q1,100.4,0.016,0.00268,1.3365,0.1854,7.21,51.8,7.64,-44.16,37.4,270.0
2024-12-01,2024,12,December,Q4,Year End / Q1,100.7,0.015,0.00274,,,,56.14,7.26,-48.88,,
2025-01-01,2025,1,January,Q1,Year End / Q1,99.9,0.0117,-0.00753,,,,54.35,6.73,-47.61,,
2025-02-01,2025,2,February,Q1,Year End / Q1,100.7,0.0092,0.00769,,,,46.45,6.68,-39.77,,
2025-03-01,2025,3,March,Q1,Asia Dry Season,100.6,0.0089,-0.00078,,,,53.41,7.62,-45.79,,
2025-04-01,2025,4,April,Q2,Asia Dry Season,100.3,0.0086,-0.00316,,,,56.42,7.74,-48.67,,
2025-05-01,2025,5,May,Q2,Asia Dry Season,101.0,0.0077,0.00695,,,,52.26,7.53,-44.73,,
2025-06-01,2025,6,June,Q2,Monsoon Season,100.9,0.008,-0.00078,,,,48.48,7.24,-41.23,,
2025-07-01,2025,7,July,Q3,Monsoon Season,100.4,0.0063,-0.00453,,,,57.02,8.12,-48.9,,
2025-08-01,2025,8,August,Q3,Monsoon Season,101.0,0.0055,0.00516,,,,51.84,7.44,-44.4,,
2025-09-01,2025,9,September,Q3,Monsoon Season,101.3,0.0067,0.00357,,,,56.26,8.02,-48.24,,
2025-10-01,2025,10,October,Q4,Year End / Q1,101.3,0.0121,0.0001,,,,62.12,8.23,-53.89,,
2025-11-01,2025,11,November,Q4,Year End / Q1,101.6,0.0119,0.00249,,,,55.58,10.8,-44.79,,
2025-12-01,2025,12,December,Q4,Year End / Q1,101.9,0.0119,0.00275,,,,64.08,7.87,-56.21,,
2026-01-01,2026,1,January,Q1,Year End / Q1,101.3,0.0143,-0.00521,,,,63.36,8.46,-54.9,,
2026-02-01,2026,2,February,Q1,Year End / Q1,101.9,0.0123,0.00585,,,,54.15,8.47,-45.68,,
2026-03-01,2026,3,March,Q1,Asia Dry Season,102.4,0.018,0.00487,,,,,,,,
